DateTime,AddedIPs,RemovedIPs
1528160902,4,10
1528164744,5,11
1528168580,9,12
1528172425,3,9
1528176274,11,8
1528180399,9,6
1528182262,7,7
1528186098,10,7
1528189937,7,10
1528193775,15,13
1528197621,14,9
1528201450,12,7
1528205298,7,8
1528208183,11,13
1528212014,16,13
1528216332,9,9
1528218269,10,11
1528222089,18,6
1528225936,12,11
1528229793,21,11
1528233626,12,20
1528237481,10,11
1528239743,4,9
1528243459,4,7
1528247305,13,4
1528251143,8,6
1528254971,15,9
1528258815,28,4
1528262667,10,10
1528266797,14,8
1528268673,9,7
1528272504,12,13
1528276354,8,6
1528278278,0,1
1528280176,8,13
1528284015,8,12
1528287868,9,12
1528291709,16,7
1528295549,16,8
1528297462,15,16
1528301331,25,11
1528305151,12,13
1528311702,17,31
1528313581,18,0
1528320489,45,31
1528324413,9,11
1528326773,29,4
1528331796,9,7
1528335430,7,12
1528337304,8,9
1528341168,7,14
1528343172,0,1
1528344998,8,28
1528348813,8,9
1528352966,14,15
1528355781,8,8
1528359618,14,10
1528363448,17,8
1528367295,18,9
1528371138,19,6
1528373070,10,11
1528376895,10,15
1528380733,15,16
1528384575,16,13
1528388426,15,25
1528392263,16,13
1528396096,14,9
1528399937,17,22
1528401861,16,23
1528405704,11,23
1528409557,11,11
1528413608,19,27
1528417473,17,11
1528421296,24,9
1528425135,16,6
1528427069,7,9
1528430916,4,8
1528434737,5,8
1528438808,18,15
1528442889,11,9
1528446998,12,12
1528448915,17,15
1528452978,9,21
1528456806,14,18
1528460660,38,10
1528464496,16,11
1528469270,17,14
1528471207,16,18
1528475048,36,14
1528478885,10,15
1528482738,19,13
1528484652,11,17
1528488744,18,17
1528492594,8,11
1528496431,19,10
1528500506,15,18
1528504356,12,19
1528506266,14,23
1528510183,12,11
1528512017,0,1
1528513940,9,9
1528517783,14,6
1528521634,12,6
1528525470,13,17
1528529295,16,10
1528532180,9,12
1528536021,17,18
1528539917,8,11
1528543742,11,13
1528545700,0,4
1528547586,15,35
1528549487,17,17
1528553303,22,17
1528557146,11,16
1528560978,9,33
1528564826,16,11
1528568660,11,19
1528572499,8,11
1528576343,11,20
1528578256,13,8
1528582090,11,17
1528586018,9,16
1528589808,10,11
1528593651,8,15
1528595556,1,0
1528597488,18,11
1528601315,14,10
1528605176,13,12
1528607069,18,14
1528610928,11,12
1528614755,10,17
1528618575,11,10
1528622451,18,16
1528626261,16,6
1528630091,0,13
1528633948,14,14
1528635882,10,16
1528639985,10,17
1528643884,16,15
1528647640,12,10
1528651475,10,15
1528655312,7,11
1528659164,10,11
1528661065,10,9
1528666370,18,12
1528668662,17,11
1528672475,6,11
1528676330,14,10
1528680160,8,9
1528683992,12,18
1528686293,9,12
1528690109,7,12
1528693948,11,19
1528697786,13,13
1528701673,13,10
1528705490,16,10
1528709310,16,18
1528713143,20,17
1528715075,21,0
1528718903,16,13
1528722738,19,9
1528726586,13,13
1528730611,23,14
1528733962,9,13
1528738211,23,10
1528741961,14,8
1528743878,18,9
1528747693,10,10
1528751529,17,19
1528755373,14,18
1528759452,8,5
1528763300,13,12
1528766179,10,9
1528770254,15,14
1528774089,13,8
1528777956,19,8
1528779852,22,9
1528783709,18,13
1528787544,14,13
1528791395,15,17
1528795242,16,15
1528799072,13,19
1528802910,15,22
1528806768,24,15
1528808655,13,18
1528812511,19,15
1528817051,15,22
1528820885,15,8
1528824744,18,23
1528826674,12,13
1528830524,10,18
1528834352,13,13
1528838424,8,16
1528842265,13,13
1528846116,16,11
1528849964,11,12
1528851868,6,10
1528855722,18,15
1528859547,11,12
1528863411,13,18
1528867466,23,17
1528871302,11,21
1528875159,15,15
1528877061,25,14
1528880919,18,17
1528884748,22,13
1528888588,17,12
1528892444,17,25
1528896264,30,13
1528900098,19,20
1528903946,15,13
1528905862,19,15
1528909703,22,20
1528913555,24,15
1528917378,19,10
1528921240,27,13
1528925065,16,9
1528928901,13,14
1528931665,12,19
1528935390,15,9
1528939226,9,6
1528943054,17,15
1528945485,12,10
1528949307,14,12
1528953189,15,22
1528957040,20,14
1528960861,15,14
1528964694,15,24
1528968533,23,19
1528972336,21,24
1528974300,23,16
1528978111,18,17
1528981936,14,27
1528985791,12,23
1528989770,18,15
1528993686,22,20
1528996567,12,22
1529000421,10,24
1529004252,17,20
1529008086,4,25
1529011853,12,15
1529014109,6,13
1529018666,12,12
1529022504,14,14
1529026333,13,10
1529028277,11,17
1529032096,7,13
1529035940,9,13
1529039787,8,16
1529043627,17,18
1529047463,14,15
1529049384,1,0
1529051297,19,15
1529054175,15,18
1529058023,16,22
1529061850,13,25
1529065888,18,20
1529067852,18,17
1529071706,19,11
1529075543,18,18
1529079371,23,24
1529083226,16,12
1529087073,16,10
1529091775,12,17
1529093876,13,4
1529097836,15,12
1529101733,12,7
1529104822,14,11
1529108649,14,13
1529112489,19,15
1529116347,17,11
1529118256,19,7
1529122105,13,9
1529125935,17,9
1529129768,16,15
1529133623,21,13
1529135533,0,1
1529137452,21,18
1529141296,11,18
1529145147,13,16
1529147057,19,13
1529150911,24,17
1529154736,15,17
1529158574,20,18
1529162425,20,17
1529166254,17,25
1529170091,33,18
1529173952,23,15
1529175858,17,14
1529179713,17,12
1529183539,17,12
1529187367,21,15
1529191452,24,14
1529195291,12,15
1529200403,16,19
1529202249,16,16
1529206085,23,20
1529209948,14,10
1529211853,17,20
1529215710,19,15
1529219533,16,20
1529223370,22,17
1529227220,23,14
1529231048,22,15
1529234885,15,19
1529238749,15,23
1529240651,20,14
1529244515,23,20
1529248334,11,22
1529250263,1,0
1529252169,22,17
1529256020,22,31
1529259851,17,25
1529263686,25,17
1529267551,15,18
1529269453,9,17
1529273697,14,16
1529277605,16,23
1529281464,16,13
1529285288,15,16
1529288171,15,16
1529292005,14,21
1529295865,22,14
1529299685,16,15
1529302567,16,19
1529306408,17,15
1529310265,21,21
1529314088,20,21
1529316968,18,24
1529320806,20,13
1529324550,23,16
1529328401,20,18
1529332238,22,23
1529334169,15,9
1529336086,0,1
1529338270,24,21
1529342086,28,24
1529345789,21,20
1529349848,17,27
1529353685,8,15
1529358547,18,7
1529360421,15,18
1529364488,11,19
1529366553,7,15
1529370501,7,14
1529374352,14,15
1529378179,8,15
1529382026,7,21
1529385864,15,19
1529389695,11,13
1529393555,12,19
1529395462,11,18
1529399301,17,22
1529403134,12,19
1529406978,21,20
1529410832,24,24
1529414901,25,20
1529417782,23,21
1529421759,17,15
1529425688,13,24
1529429548,13,24
1529431454,18,25
1529435312,16,18
1529439133,13,6
1529442969,12,19
1529446821,9,17
1529450902,12,12
1529454755,8,7
1529456660,10,6
1529460513,12,13
1529464338,14,9
1529468174,8,7
1529472026,11,10
1529475964,10,13
1529479707,14,15
1529483556,16,11
1529485461,25,15
1529489328,21,13
1529493142,14,16
1529496978,18,27
1529501059,16,23
1529504894,16,23
1529508757,13,17
1529510933,16,16
1529514749,8,13
1529518600,17,19
1529522435,7,16
1529526496,13,12
1529530364,8,12
1529532279,5,11
1529536213,15,12
1529539943,12,8
1529543795,12,10
1529547622,15,14
1529551690,13,12
1529555533,8,7
1529557454,9,10
1529561293,8,10
1529565383,17,15
1529569233,20,12
1529573075,17,25
1529577155,16,23
1529579224,10,15
1529583151,10,19
1529587122,23,13
1529591054,19,15
1529594890,19,11
1529598740,13,19
1529600915,10,8
1529604743,13,18
1529608586,7,6
1529612428,15,13
1529616265,13,8
1529621727,16,4
1529623708,15,11
1529627561,10,15
1529629465,14,14
1529633324,14,17
1529637142,16,12
1529640989,15,8
1529644834,13,10
1529648656,12,7
1529652760,11,17
1529654669,7,18
1529658532,9,19
1529662582,19,13
1529666528,16,10
1529670259,10,12
1529674098,17,23
1529677004,17,18
1529681067,16,21
1529684906,18,15
1529687776,14,8
1529691608,13,13
1529695453,17,6
1529699552,8,14
1529701491,9,17
1529705303,11,16
1529709865,3,11
1529713696,13,14
1529717556,7,15
1529719472,9,15
1529723304,6,15
1529727161,7,16
1529731008,11,12
1529734847,13,14
1529738665,12,9
1529742499,18,10
1529745379,16,9
1529749217,17,16
1529753063,16,18
1529756900,8,12
1529759793,9,16
1529763641,15,16
1529767472,19,14
1529771299,10,17
1529775160,16,13
1529777080,18,16
1529780916,15,18
1529784762,12,6
1529788594,14,9
1529792409,10,13
1529796509,10,3
1529800357,14,12
1529802259,17,7
1529806102,17,10
1529809957,12,6
1529813794,8,5
1529817629,10,12
1529821469,10,12
1529825309,17,15
1529829155,12,16
1529831065,13,17
1529834898,16,13
1529838746,22,19
1529842588,20,8
1529846425,13,10
1529850270,17,12
1529854105,17,18
1529857242,15,11
1529861308,21,14
1529865160,9,17
1529867071,19,17
1529871809,12,13
1529875688,9,15
1529877710,3,1
1529879533,5,9
1529881467,10,10
1529885317,7,14
1529889137,11,18
1529892971,10,18
1529894890,0,1
1529896817,12,11
1529900661,13,6
1529904497,10,12
1529908337,5,10
1529910272,14,16
1529914117,11,12
1529917938,10,10
1529921779,17,15
